epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4248.56,2.2264,1.30573,0.93818,0.60666,0.39737,0.44733,0.17784,2.13021,1.19183,0.91283,0.007228,0.007228,0.007228
44,4348.11,2.20202,1.28995,0.93948,0.58447,0.40257,0.44145,0.17356,2.1294,1.20747,0.91428,0.007162,0.007162,0.007162
45,4445.9,2.20826,1.29254,0.94064,0.60948,0.42122,0.46643,0.18487,2.09641,1.17421,0.90814,0.007096,0.007096,0.007096
46,4543.95,2.2022,1.2946,0.94258,0.60482,0.41299,0.45898,0.18394,2.09936,1.18309,0.90963,0.00703,0.00703,0.00703
47,4644.03,2.20975,1.29508,0.9353,0.61338,0.41342,0.46238,0.1856,2.09685,1.17908,0.90946,0.006964,0.006964,0.006964
48,4742.63,2.20237,1.28967,0.93694,0.60323,0.41642,0.46496,0.18548,2.10046,1.17782,0.90907,0.006898,0.006898,0.006898
49,4840.98,2.21109,1.29575,0.93399,0.60884,0.41673,0.46045,0.18312,2.09377,1.18164,0.90984,0.006832,0.006832,0.006832
50,4939.31,2.20863,1.28295,0.93355,0.60108,0.42413,0.46318,0.18486,2.08625,1.19098,0.90665,0.006766,0.006766,0.006766
51,5035.89,2.18671,1.27028,0.93439,0.62577,0.41234,0.46765,0.18958,2.08641,1.16246,0.90668,0.0067,0.0067,0.0067
52,5131.85,2.19634,1.28297,0.93196,0.60528,0.42093,0.46202,0.18495,2.08207,1.17231,0.90521,0.006634,0.006634,0.006634
53,5228.8,2.20517,1.29196,0.93093,0.62003,0.42451,0.47033,0.1891,2.07323,1.16587,0.90432,0.006568,0.006568,0.006568
54,5327.01,2.19911,1.28439,0.9342,0.61696,0.42687,0.47022,0.18933,2.07566,1.16459,0.90558,0.006502,0.006502,0.006502
55,5425.27,2.17247,1.26086,0.93427,0.61612,0.42265,0.46964,0.18849,2.07836,1.15843,0.90573,0.006436,0.006436,0.006436
56,5522.3,2.1704,1.25706,0.92953,0.61438,0.42236,0.4719,0.18984,2.07819,1.15498,0.90513,0.00637,0.00637,0.00637
57,5619.07,2.15869,1.24896,0.93052,0.626,0.42587,0.47563,0.19167,2.06337,1.16023,0.90323,0.006304,0.006304,0.006304
58,5716.2,2.17943,1.26043,0.92929,0.62029,0.43188,0.48169,0.197,2.05415,1.14283,0.90307,0.006238,0.006238,0.006238
59,5813.99,2.15051,1.25023,0.9284,0.6285,0.4268,0.47961,0.19323,2.07031,1.14471,0.90471,0.006172,0.006172,0.006172
60,5911.92,2.1807,1.25861,0.92956,0.61574,0.43181,0.47692,0.19337,2.06211,1.14204,0.90349,0.006106,0.006106,0.006106
61,6009.56,2.15473,1.23516,0.92628,0.6242,0.43203,0.48008,0.19529,2.06184,1.14115,0.90292,0.00604,0.00604,0.00604
62,6108.69,2.16054,1.24592,0.92585,0.60941,0.4278,0.47486,0.19423,2.06282,1.13443,0.90421,0.005974,0.005974,0.005974
63,6204.39,2.17579,1.25417,0.92803,0.62248,0.42831,0.478,0.19568,2.05268,1.13723,0.90396,0.005908,0.005908,0.005908
64,6302.59,2.1496,1.23945,0.92939,0.62003,0.43353,0.48347,0.19675,2.04528,1.13677,0.90015,0.005842,0.005842,0.005842
65,6400.56,2.15602,1.24442,0.92474,0.61682,0.43231,0.48205,0.19591,2.04895,1.131,0.90193,0.005776,0.005776,0.005776
66,6498.22,2.17093,1.25517,0.92371,0.61754,0.43418,0.48072,0.19433,2.04743,1.14599,0.90207,0.00571,0.00571,0.00571
67,6597.1,2.14912,1.2387,0.92418,0.63467,0.42931,0.48216,0.19739,2.03561,1.13687,0.89908,0.005644,0.005644,0.005644
68,6695.31,2.13103,1.21921,0.93212,0.62621,0.42887,0.48171,0.19598,2.0484,1.12628,0.90108,0.005578,0.005578,0.005578
69,6794.73,2.14126,1.2321,0.92655,0.62738,0.43332,0.4836,0.19857,2.03844,1.12892,0.89898,0.005512,0.005512,0.005512
70,6893.81,2.14038,1.23074,0.91898,0.63126,0.44291,0.48956,0.19983,2.04022,1.12238,0.90072,0.005446,0.005446,0.005446
71,6991.76,2.1381,1.23234,0.9307,0.63658,0.43137,0.48649,0.19913,2.03814,1.12477,0.8995,0.00538,0.00538,0.00538
72,7090.85,2.14188,1.23626,0.92267,0.63085,0.4394,0.48721,0.1999,2.03568,1.12299,0.89982,0.005314,0.005314,0.005314
73,7188.44,2.1254,1.21827,0.91895,0.6328,0.4377,0.49005,0.19996,2.03181,1.11875,0.89947,0.005248,0.005248,0.005248
74,7285.28,2.13126,1.2227,0.92601,0.63666,0.43818,0.49151,0.2011,2.02791,1.11232,0.89844,0.005182,0.005182,0.005182
75,7383.28,2.11573,1.22137,0.92093,0.63696,0.44298,0.49444,0.20179,2.01775,1.1165,0.8973,0.005116,0.005116,0.005116
76,7481.94,2.12271,1.21418,0.92145,0.62968,0.44377,0.49386,0.20408,2.01229,1.11214,0.89657,0.00505,0.00505,0.00505
77,7579.99,2.12857,1.22009,0.91852,0.62581,0.4452,0.495,0.20423,2.01618,1.10619,0.89571,0.004984,0.004984,0.004984
78,7677.55,2.12465,1.21364,0.92101,0.62437,0.44837,0.49566,0.20513,2.01176,1.10107,0.89649,0.004918,0.004918,0.004918
79,7775.44,2.10363,1.1995,0.92268,0.6325,0.4454,0.49492,0.20334,2.01823,1.11286,0.89666,0.004852,0.004852,0.004852
